uniprot_a	uniprot_b	gene_a	gene_b	method	det_method	first_author	reference	mi-score	expansion_methd	role_a	role_b
uniprotkb:P01116	uniprotkb:Q9UKT4	KRAS	FBXO5	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UL25	KRAS	RAB21	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9ULF5	KRAS	SLC39A10	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UNK0	KRAS	STX8	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UPY5	KRAS	SLC7A11	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UQB8	KRAS	BAIAP2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y2U8	KRAS	LEMD3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y3E5	KRAS	PTRH2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y5Y0	KRAS	FLVCR1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y5Z9	KRAS	UBIAD1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y624	KRAS	F11R	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y6M5	KRAS	SLC30A1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y6N7	KRAS	ROBO1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0407"(direct interaction)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99755	KRAS	PIP5K1A	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.66	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q99959	KRAS	PKP2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9BYI3	KRAS	HYCC1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9BZF1	KRAS	OSBPL8	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9BZF9	KRAS	UACA	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9C0C4	KRAS	SEMA4C	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9H0X4	KRAS	FAM234A	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9H792	KRAS	PEAK1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9H8Y8	KRAS	GORASP2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9HB90	KRAS	RRAGC	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9HC07	KRAS	TMEM165	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9NQ66	KRAS	PLCB1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9NRY6	KRAS	PLSCR3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9NZD8	KRAS	SPG21	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9P0L0	KRAS	VAPA	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UBM7	KRAS	DHCR7	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UGH3	KRAS	SLC23A2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UGV2	KRAS	NDRG3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UHN6	KRAS	CEMIP2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q04917	KRAS	YWHAH	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y4F3	KRAS	MARF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9Y296	KRAS	TRAPPC4	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q9UQB8	KRAS	BAIAP2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q7KZI7	KRAS	MARK2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:O15143	KRAS	ARPC1B	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P49336	KRAS	CDK8	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2014)	intact:EBI-8993935|pubmed:24412244|imex:IM-21669	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P49336	KRAS	CDK8	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2014)	intact:EBI-8993935|pubmed:24412244|imex:IM-21669	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P17936	KRAS	IGFBP3	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2014)	intact:EBI-8993935|pubmed:24412244|imex:IM-21669	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P62714	KRAS	PPP2CB	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2014)	intact:EBI-8993935|pubmed:24412244|imex:IM-21669	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P62714	KRAS	PPP2CB	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2014)	intact:EBI-8993935|pubmed:24412244|imex:IM-21669	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:Q5VU43	KRAS	PDE4DIP	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Vinayagam A. et al.(2011)	intact:EBI-7094856|doi:10.1126/scisignal.2001699|mint:MINT-8247638|mint:MINT-8089645|pubmed:21900206|imex:IM-16799	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P00156	KRAS	MT-CYB	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116	uniprotkb:P31930	KRAS	UQCRC1	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Arroyo R. et al.(2015)	intact:EBI-9063656|pubmed:25640309|imex:IM-21668	intact-miscore:0.37	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P09874	RAF1	PARP1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:Q13813	RAF1	SPTAN1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Luis F. Iglesias-Martinez et al.(2023)	intact:EBI-40206361|pubmed:37045861|imex:IM-29658	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:Q9UIQ6	NRAS	LNPEP	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P35222	NRAS	CTNNB1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P15924	BRAF	DSP	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P49207	HRAS	RPL34	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9Y3U8	HRAS	RPL36	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P23921	HRAS	RRM1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P16401	HRAS	H1-5	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9NVI1	HRAS	FANCI	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kim M. et al.(2021)	intact:EBI-34580698|pubmed:34591612|imex:IM-29535	intact-miscore:0.42	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q5VYK3	HRAS	ECPAS	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kim M. et al.(2021)	intact:EBI-34580698|pubmed:34591612|imex:IM-29535	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P37268	HRAS	FDFT1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kim M. et al.(2021)	intact:EBI-34580698|pubmed:34591612|imex:IM-29535	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8WTV0	HRAS	SCARB1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P55011	HRAS	SLC12A2	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:O00429	HRAS	DNM1L	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q9H2H9	HRAS	SLC38A1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q15758	HRAS	SLC1A5	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q14789	HRAS	GOLGB1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q01650	HRAS	SLC7A5	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:P15260	HRAS	IFNGR1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112	uniprotkb:Q8IV08	HRAS	PLD3	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.27	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
