diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Craniofacial Abnormalities	C0376634	CURATED	150	ANKH,DLL3,FOXC2	3	3/237	3/14132	0.720118548523083	14132	0.80992907493068	combined_HrasG13R	HrasG13R	combined	Active
Rheumatoid Arthritis	C0003873	CURATED	222	TFPI2,CA2,CCN1,MPO	4	4/237	4/14132	0.723156635931726	14132	0.80992907493068	combined_HrasG13R	HrasG13R	combined	Active
Cardiomyopathies	C0878544	CURATED	223	NEBL,YWHAH,HCN4,CS	4	4/237	4/14132	0.725973012285426	14132	0.80992907493068	combined_HrasG13R	HrasG13R	combined	Active
Major Depressive Disorder	C1269683	CURATED	229	MAP2,PRKCB,LSAMP,NEFL	4	4/237	4/14132	0.74240472374142	14132	0.812900422731769	combined_HrasG13R	HrasG13R	combined	Active
Hereditary Breast and Ovarian Cancer Syndrome	C0677776	CURATED	158	ID3,KRAS,RALGDS	3	3/237	3/14132	0.746406535764016	14132	0.812900422731769	combined_HrasG13R	HrasG13R	combined	Active
Unipolar Depression	C0041696	CURATED	231	MAP2,LSAMP,PRKCB,NEFL	4	4/237	4/14132	0.747705855060884	14132	0.812900422731769	combined_HrasG13R	HrasG13R	combined	Active
Autism Spectrum Disorders	C1510586	CURATED	572	ALOXE3,CORO1A,THBS1,LZTR1,CA2,FLT1,AFDN,CEP104,SCRIB	9	9/237	9/14132	0.748463194100592	14132	0.812900422731769	combined_HrasG13R	HrasG13R	combined	Active
Short stature	C0349588	CURATED	162	RIT1,LZTR1,ROBO1	3	3/237	3/14132	0.75874141020841	14132	0.817780968920373	combined_HrasG13R	HrasG13R	combined	Active
Seizures	C0036572	CURATED	308	EEF1B2,ALG11,YWHAG,PIK3CA,SPTAN1	5	5/237	5/14132	0.762929806370836	14132	0.817780968920373	combined_HrasG13R	HrasG13R	combined	Active
Necrotizing encephalopathy, infantile subacute, of Leigh	C2931891	CURATED	168	ECHS1,DLAT,SUCLA2	3	3/237	3/14132	0.776273030010001	14132	0.82668036962104	combined_HrasG13R	HrasG13R	combined	Active
Renal Cell Carcinoma	C0007134	CURATED	180	PIK3CA,FLT1,C4A	3	3/237	3/14132	0.808028992353461	14132	0.854946804812694	combined_HrasG13R	HrasG13R	combined	Active
